codDaneDpto;Dpto;codDaneMunicipio;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;nombreCientificoCultivo;codCultivo;estadoFisicoCultivo
15;Boyacá;15646;Samacá;Frijol;Frijol;Transitorio;Leguminosas;Leguminosas;2023;B;6.0;5.0;8.04195804195804;1.61;Phaseolus vulgaris;1060200;Grano seco
15;Boyacá;15646;Samacá;Granadilla;Granadilla;Permanente;Frutales;Pasifloráceas;2019;C;1.0;0.0;0.0;0.0;Passiflora ligularis;2042800;En fresco
15;Boyacá;15646;Samacá;Granadilla;Granadilla;Permanente;Frutales;Pasifloráceas;2020;C;1.0;0.0;0.0;0.0;Passiflora ligularis;2042800;En fresco
15;Boyacá;15646;Samacá;Granadilla;Granadilla;Permanente;Frutales;Pasifloráceas;2021;C;1.0;1.0;5.0;5.0;Passiflora ligularis;2042800;En fresco
15;Boyacá;15646;Samacá;Granadilla;Granadilla;Permanente;Frutales;Pasifloráceas;2022;C;1.0;1.0;5.0;5.0;Passiflora ligularis;2042800;En fresco
15;Boyacá;15646;Samacá;Lechuga;Lechuga;Transitorio;Hortalizas;Hortalizas de hoja;2019;A;15.0;14.0;42.0;3.0;Lactuca sativa;1051900;En fresco
15;Boyacá;15646;Samacá;Lechuga;Lechuga;Transitorio;Hortalizas;Hortalizas de hoja;2019;B;30.0;30.0;60.0;2.0;Lactuca sativa;1051900;En fresco
15;Boyacá;15646;Samacá;Lechuga;Lechuga;Transitorio;Hortalizas;Hortalizas de hoja;2020;A;33.0;33.0;99.0;3.0;Lactuca sativa;1051900;En fresco
15;Boyacá;15646;Samacá;Lechuga;Lechuga;Transitorio;Hortalizas;Hortalizas de hoja;2020;B;15.0;15.0;45.0;3.0;Lactuca sativa;1051900;En fresco
15;Boyacá;15646;Samacá;Lechuga;Lechuga;Transitorio;Hortalizas;Hortalizas de hoja;2021;A;10.0;9.5;194.37;20.46;Lactuca sativa;1051900;En fresco
15;Boyacá;15646;Samacá;Lechuga;Lechuga;Transitorio;Hortalizas;Hortalizas de hoja;2021;B;15.0;14.25;291.55;20.46;Lactuca sativa;1051900;En fresco
